unit,state_fips,kind,source,event_ym,mw_before,mw_first,mw_end,pct_first,pct_window,n_steps,controls,n_controls,controls_strict,n_controls_strict,event_id,federal_induced
23,23,state,state,1996-10,4.25,4.75,5.15,0.11764705882352944,0.21176470588235308,2,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56 4005 17031 21067 21111 24031 24033 35001 35013 35049 36005 36047 36059 36061 36081 36085 36103 36119,49,15 34,2,34,0
23,23,state,state,2002-01,5.15,5.75,6.5,0.11650485436893199,0.26213592233009697,2,1 4 5 8 13 16 18 19 20 21 22 24 26 28 29 30 31 32 33 35 37 38 39 40 42 45 46 47 48 49 51 54 56 4005 8031 19103 19113 19179 21067 21111 24031 24033 35001 35013,44,1 4 5 8 13 16 18 19 20 21 22 24 26 28 29 30 31 32 33 35 37 38 39 40 42 45 46 47 48 49 51 54 56 4005 8031 19103 19113 19179 21067 21111 24031 24033 35001 35013,44,35,0
23,23,state,state,2017-01,7.5,9.0,12.0,0.19999999999999996,0.6000000000000001,4,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56 35001 35049,26,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56 35001 35049,26,36,0
24,24,state,state,2007-01,5.15,6.15,7.25,0.1941747572815533,0.40776699029126195,3,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,37,0
24,24,state,state,2015-01,7.25,8.0,10.1,0.10344827586206895,0.39310344827586197,4,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,38,0
25,25,state,state,1996-01,4.25,4.75,5.25,0.11764705882352944,0.23529411764705888,2,1 4 5 12 13 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56 4005 17031 21067 21111 24031 24033 35001 35013 35049 36005 36047 36059 36061 36081 36085 36103 36119,48,34,1,39,0
25,25,state,state,2007-01,6.75,7.5,8.0,0.11111111111111116,0.18518518518518512,2,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,40,0
25,25,state,state,2015-01,8.0,9.0,11.0,0.125,0.375,3,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,41,0
26,26,state,state,2006-10,5.15,6.95,7.4,0.34951456310679596,0.4368932038834952,1,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,42,0
26,26,state,state,2014-09,7.4,8.15,9.25,0.10135135135135132,0.25,1,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,43,0
26,26,state,state,2025-03,10.56,12.48,12.48,0.18181818181818188,0.18181818181818188,1,1 5 6 13 16 18 19 20 21 22 27 28 33 35 37 38 40 42 45 47 48 49 54 55 56 4005 6001 6013 6041 6073 6075 6081 6085 6097 8031 17031 19103 19113 19179 21067 21111 23005 24031 24033 35001 36005 36047 36059 36061 36081 36085 36103 36119 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53033 53053,73,1 5 6 13 16 18 19 20 21 22 27 28 33 35 37 38 40 42 45 47 48 49 54 55 56 4005 6001 6013 6041 6073 6075 6081 6085 6097 8031 17031 19103 19113 19179 21067 21111 23005 24031 24033 35001 36005 36047 36059 36061 36081 36085 36103 36119 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53033 53053,73,44,0
27,27,state,state,2005-08,5.15,6.15,6.55,0.1941747572815533,0.27184466019417464,2,1 9 13 16 18 20 22 28 31 38 40 45 46 47 48 49 51 56,18,9,1,45,0
27,27,state,state,2014-08,7.25,8.0,9.65,0.10344827586206895,0.3310344827586207,3,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,46,0
29,29,state,state,2007-01,5.15,6.5,7.25,0.26213592233009697,0.40776699029126195,2,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,47,0
29,29,state,state,2019-01,7.85,8.6,11.15,0.09554140127388533,0.42038216560509567,4,1 13 16 18 19 20 21 22 26 28 33 37 38 40 42 45 47 48 49 55 56 6001,22,1 13 16 18 19 20 21 22 26 28 33 37 38 40 42 45 47 48 49 55 56 6001,22,48,0
30,30,state,state,1996-10,4.25,4.75,5.15,0.11764705882352944,0.21176470588235308,2,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56 4005 17031 21067 21111 24031 24033 35001 35013 35049 36005 36047 36059 36061 36081 36085 36103 36119,49,15 34,2,49,0
30,30,state,state,2007-01,5.15,6.15,7.25,0.1941747572815533,0.40776699029126195,3,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,50,0
