group,ages,outcome,twfe,twfe_se,twfe_school,twfe_school_se,twfe_trend,twfe_trend_se,stacked,stacked_se,n,n_events
lowses,1617,employed,-0.019881337137021463,0.01911348521022199,-0.016182764628876765,0.017672064940749854,-0.09048295526800651,0.03429351830210278,-0.0006561188539533,0.007853616749854,221743,73
lowses,1617,log_wage,0.2339136519503483,0.03439354012698997,0.23552100036977094,0.04237462198625719,0.35342772079619267,0.027542687509669088,0.0734007266530716,0.0139011169177903,7603,73
lowses,1617,log_earnweek,0.27279306896767075,0.09689568385853155,0.21895705161684684,0.12557992169321378,0.16753175761440303,0.05369671571530182,0.0757046645066889,0.0334057086232099,7989,73
lowses,1819,enr_emp,0.001060029161501681,0.01321561190217817,0.0036535649176744857,0.013988031207478154,-0.018829080265194524,0.013136197541634576,0.000828240754735,0.0050564674012429,216228,73
lowses,1819,enr_only,-0.02039664360595378,0.018673451064227433,-0.022905812661242652,0.016216778335860067,0.17269194431586465,0.04599087998208561,0.0030176642683069,0.0090726885419466,216228,73
lowses,1819,emp_only,-0.0028572982533596374,0.023151786643383576,-0.003303238166252978,0.02422711729821686,-0.11356143082631634,0.0337033074089965,0.0014345246702506,0.0084929214757751,216228,73
lowses,1819,neither,0.022193912697811735,0.012110942129591556,0.02255548590982113,0.011675530404717634,-0.04030143322435372,0.00950571277197406,-0.0052804296932927,0.0061971742999058,216228,73
lowses,1819,enrolled,-0.019336614444452116,0.027232462865854724,-0.019252247743568148,0.024742293364511895,0.15386286405067012,0.039496338316703905,0.003845905023042,0.0092543537799391,216228,73
lowses,1819,employed,-0.0017972690918579561,0.01674314535713642,0.00035032675142149564,0.01698453558826071,-0.13239051109151087,0.041566935141497105,0.0022627654249857,0.0077714715642842,216228,73
lowses,1819,log_wage,0.18470768525072925,0.02861597691789805,0.19308081876740263,0.02848788992839372,0.3042988733399075,0.03186356654108708,0.0413538719337712,0.0112223695740762,18885,73
lowses,1819,log_earnweek,0.19096718526226167,0.06552198456278319,0.24149006392648342,0.07336557942187102,0.026063042382753077,0.04451935507787585,0.0464246538641516,0.029661426194923,20106,73
lowses,1619,enr_emp,-0.011518483732325757,0.0078030142145114586,-0.010132920941494076,0.008734362414827277,-0.04840362333504481,0.017070879636384564,0.0003529218803334,0.0032331613372463,437971,73
lowses,1619,enr_only,-0.010443515545998483,0.018219940906035605,-0.0068212120588386485,0.015395020818385521,0.13466923649595125,0.040597644381269414,0.0032339481884082,0.006046796263239,437971,73
lowses,1619,emp_only,0.0020532071097293775,0.014289491352139775,0.0038220362684181735,0.014394016254099784,-0.06293153176489026,0.021612470176529095,0.0011093112696015,0.0051513574526923,437971,73
lowses,1619,neither,0.019908792168594862,0.008320534799567507,0.013132096731914535,0.00759179214168655,-0.023334081396016264,0.008128843047890518,-0.0046961813383432,0.0043505176136912,437971,73
lowses,1619,enrolled,-0.021961999278324214,0.018254031776420394,-0.016954133000332702,0.016259313299443405,0.08626561316090654,0.02625478691182029,0.0035868700687417,0.0055709327101232,437971,73
lowses,1619,employed,-0.009465276622596391,0.016172303855132856,-0.006310884673075885,0.015291537007893563,-0.11133515509993501,0.0373961064831311,0.001462233149935,0.0061381277171881,437971,73
lowses,1619,log_wage,0.20635185411555954,0.024553237917601913,0.21010645463166056,0.022755176416089234,0.32018939916568523,0.028694238735464946,0.0522277254856109,0.0109835709421376,26488,73
lowses,1619,log_earnweek,0.2245298417027071,0.06001598672780811,0.23226409415796154,0.06621493133554589,0.06877707114028808,0.03201333771021075,0.0577059933568077,0.0255371978106696,28095,73
highses,1617,enr_emp,-0.019256694189873996,0.014559794553629829,-0.015844396743501323,0.017690684065994125,-0.10183538005534014,0.04320916280947547,-0.0001985279086287,0.0042229323212368,380276,73
highses,1617,enr_only,0.0014694250928178358,0.01998452133626098,0.0158913928632004,0.017863907972635932,0.11644090077734984,0.0485511423527336,-0.0024298868864356,0.0047264657139092,380276,73
highses,1617,emp_only,-0.002749821524095289,0.008342990351655638,-0.0058398345907775245,0.006006469645137732,-0.024339930659098806,0.011529335636706875,0.0044583548606703,0.0025021652151327,380276,73
highses,1617,neither,0.02053709062115147,0.0062954341606718785,0.0057928384710784556,0.007713667682488594,0.009734409937089,0.0075398577858311186,-0.0018299400656059,0.0030156988489767,380276,73
highses,1617,enrolled,-0.017787269097056163,0.010043661509761971,4.699611969905927e-05,0.010262245618334742,0.01460552072200981,0.008246143680885094,-0.0026284147950643,0.0043331282655121,380276,73
highses,1617,employed,-0.022006515713969298,0.020115355611920883,-0.021684231334278867,0.01920582152325462,-0.12617531071443888,0.05403405190813098,0.0042598269520416,0.0047538605274164,380276,73
highses,1617,log_wage,0.22233867280373637,0.02715455221062448,0.2170395801640136,0.03048984949779219,0.34556812164833206,0.030748779611402894,0.0441522924935677,0.0092150085012604,21319,73
highses,1617,log_earnweek,0.22001578332636332,0.0677501059570931,0.18524363011587555,0.07674933366402718,0.19328134454168597,0.06850469556740815,0.0588741450921898,0.0268736863768108,22319,73
highses,1819,enr_emp,0.005411028219335464,0.014914058052790226,0.0005363317993759281,0.01363719855657462,-0.04706603632836928,0.018318833160372767,0.0059569984453491,0.0076009924001054,321709,73
highses,1819,enr_only,0.0025417451085533948,0.014606430243435201,0.003727954943060484,0.01817269998225929,0.13069819475073827,0.04484100780440331,-0.0097912760912898,0.0067487878994252,321709,73
highses,1819,emp_only,-0.01350555688093874,0.01675055822087951,-0.011829553506107298,0.015858361617197933,-0.08027918573314179,0.03260964957981279,0.0066734350550179,0.007166361957907,321709,73
highses,1819,neither,0.005552783553049887,0.009284237623013062,0.0075652667636709,0.008009542976171994,-0.0033529726892271862,0.009278984546101338,-0.0028391574090772,0.0041259855378723,321709,73
highses,1819,enrolled,0.007952773327888862,0.018183084213207787,0.004264286742436397,0.017888772162669066,0.083632158422369,0.03087341041857211,-0.0038342776459407,0.0083688264726927,321709,73
highses,1819,employed,-0.008094528661603281,0.018582501497681723,-0.01129322170673137,0.020239811089042423,-0.12734522206151105,0.047766323005126156,0.012630433500367,0.0081397652927472,321709,73
highses,1819,log_wage,0.15426393125574395,0.028642431686392248,0.16124166436394555,0.032353504637084966,0.26197867018429577,0.02958711292851745,0.0257670927500783,0.0090496900251631,32876,73
