year,band,w,enrolled,employed,inlf,enr_emp,enr_only,emp_only,neither
2004,1619,194669179.9988,0.733335863817683,0.3721223488615226,0.44729813559052717,0.2270276274625107,0.5063082363551722,0.14509472139901194,0.12156941478330512
2005,1619,196770872.007,0.7293959669670734,0.3738445888001304,0.4470489236642234,0.22886462105020275,0.5005313459168707,0.14497996774992764,0.12562406528299896
2006,1619,200131894.9773,0.7316358749993755,0.3760214109796726,0.4443178504619966,0.22959818978285237,0.5020376852165231,0.14642322119682027,0.12194090380380428
2007,1619,203782834.9908,0.7439669478209218,0.3567170488995396,0.4226478158324196,0.22058822781138274,0.523378720009539,0.13612882108815683,0.11990423109092146
2008,1619,204903355.97820002,0.7469483443872119,0.33176468098371437,0.40778631009386557,0.20511477437280967,0.5418335700144021,0.12664990661090475,0.1264017490018834
2009,1619,204520419.97329998,0.7559332161369677,0.28946746476429486,0.38197948218910793,0.18159243228450497,0.5743407838524628,0.10787503247978986,0.13619175138324244
2010,1619,202806530.0021,0.7658546430314237,0.26805959442744315,0.3597986307558461,0.1681462168868374,0.5977084261445863,0.09991337754060572,0.13423197942797066
2011,1619,201293589.9936,0.7703182257921378,0.26251467605193035,0.3453430557441506,0.16331705662582316,0.6070011691663146,0.09919761942610723,0.13048415478175482
2012,1619,203810860.0829,0.7768610585284721,0.2648821384564163,0.34667243779090506,0.1661736935339177,0.6106873649945543,0.0987084449224986,0.12443049654902939
2013,1619,201448648.03710002,0.7435503242802318,0.26993253598398687,0.3489674783657684,0.15672490470467443,0.5868254195755573,0.11320763127931242,0.1432420444404557
2014,1619,199595686.9981,0.7462267402256934,0.28072539503137345,0.3469283346736804,0.16176420432324948,0.584462535902444,0.11896119070812398,0.13481206906618248
2015,1619,199426166.9917,0.7476203919980332,0.2926065185098234,0.35023919874018833,0.17135563314779176,0.5762647588502416,0.12125088536203167,0.13112872263993505
2016,1619,200564939.0069,0.7449444262103052,0.3002442984410566,0.35528467747470327,0.17536028634341724,0.5695841398668879,0.12488401209763934,0.13017156169205532
2017,1619,201047922.9783,0.7521278853625419,0.30640105543815493,0.35595392113662466,0.17840892714555162,0.5737189582169904,0.12799212829260329,0.11987998634485467
2018,1619,201177337.9967,0.7542363159208767,0.3110823818253653,0.35539239178059306,0.18212432694681055,0.5721119889740661,0.12895805487855477,0.11680562920056861
2019,1619,200310684.02420002,0.7562656286086985,0.3164455160142232,0.3617319509210306,0.18453764379704368,0.5717279848116547,0.13190787221717953,0.11182649917412192
2020,1619,198798516.9849,0.7428556784813295,0.2850889376141817,0.3468650228952043,0.16429201706912536,0.5785636614122042,0.12079692054505635,0.13634740097361414
2021,1619,197431980.01200002,0.7479348013362616,0.32400897120928374,0.366168326838975,0.18718623841210408,0.5607485629241575,0.13682273279717969,0.11524246586655865
2022,1619,204855527.9898,0.7384762381127077,0.334364436290001,0.37382916810481703,0.19378033159923594,0.5446959065134718,0.14058410469076507,0.12093965719652722
2023,1619,206675099.0087,0.7406993845444143,0.33771509636660135,0.37878644056294636,0.1958198436164599,0.5448795409279544,0.14189525275014145,0.11740536270544412
2024,1619,211027166.993,0.7419694917043254,0.3250402417773787,0.37202989466898456,0.1872813073015901,0.5546881844027353,0.13775893447578866,0.12027157381988596
2025,1619,196258888.9871,0.7495011825399082,0.3161094529006419,0.3668190809616372,0.18389357864790634,0.5656076038920018,0.13221587425273554,0.11828294320735633
2026,1619,140613256.00239998,0.7373096362787479,0.3194923442142128,0.36983981522206116,0.18208927143514114,0.5552203648436068,0.13740307277907166,0.12528729094218055
1994,1819,83435050.0858,0.5292540617293332,0.5273843345446598,0.6274164118684853,0.23695430066464054,0.2922997610646926,0.29043003388001926,0.1803159043906475
1995,1819,85240209.5001,0.5227762834187746,0.5427737860257807,0.6403621082516926,0.24023599871931306,0.2825402846994616,0.3025377873064677,0.1746859292747577
1996,1819,87125770.6003,0.536413964304599,0.5319994554164712,0.6277260396754721,0.24396021909534552,0.29245374520925344,0.2880392363211257,0.17554679937427534
1997,1819,90046932.6007,0.5444762986165157,0.5368850360298023,0.6287838950825055,0.24477407140827645,0.2997022272082393,0.2921109646215258,0.1634127367619584
1998,1819,93004502.9789,0.5564816185850889,0.5564371387269369,0.6387158297031802,0.26318333466448574,0.2932982839206032,0.2932538040624512,0.15026457735245985
1999,1819,95581045.8777,0.5541822298949992,0.5573793745672913,0.6357106885181756,0.26250158207312296,0.29168064782187614,0.2948777924941683,0.15093997761083258
2000,1819,95285209.7008,0.5513309544414944,0.5568228516104586,0.631770607546814,0.2562175158029277,0.2951134386385667,0.30060533580753107,0.1480637097509746
2001,1819,95479835.4123,0.5621602624263157,0.5329365379419672,0.6135246105320961,0.25255547560771735,0.3096047868185984,0.2803810623342498,0.15745867523943446
